Track title,track lyrics,Release Year,composer ,Lyricist
البنت الشلبية,البنت الشلبية .. عيونا لوزية بحبك من قلبي .. ياقلبي انتي عينيا حد القناطر .. محبوبي ناطر كسر الخواطر .. ياولفي ماهان عليا بتطل بتلوح .. و القلب مجروحو أيام عالبال .. بتعن و تروح تحت الرمانة .. حبي حاكاني و سمعني غناني يا عيوني .. و أتغزل فيا,2009,تراث,تراث
اخر ايام الصيفيه,آخر أيام الصيفية والصبية شوي شوي وصلت ع ساحة ميس الريم وانقطعت فيها العربية آخر ايام المشاوير في غيمة زرقة وبرد كتير وحدي منسية بساحة رمادية أنا والليل وغنية تأخرنا وشو طالع بالايد حبيبي وسبقتنا المواعيد أنا لو فيّ زورك بعنيي وعمرها ما تمشي العربية,1975,الأخوين رحباني,الأخوين رحباني
اعطني الناي,أعطني الناي وغن فالغنا سر الوجود وأنين الناي يبقى بعد أن يفنى الوجود هل إتخذت الغاب مثلي منزلاً دون القصور فتتبعت السواقي وتسلقت الصخور هل تحممت بعطره وتنشفت بنور وشربت الفجر خمراً من كؤوس من أثير هل جلست العصر مثلي بين جفنات العنب والعناقيد تدلت كثريات الذهب هل فرشت العشب ليلاً وتلحفت الفضاء زاهداً في ما سيأتي ناسياً ما قد مضى أعطني الناي وغن وانسى داء ودواء إنما الناس سطورٌ كتبت لكن بماء,1973,نجيب حنكش,جبران خليل جبران
انا لحبيبي,أنا لحبيبي و حبيبي إلي يا عصفورة بيضا لا بقى تسألي لا يعتب حدا و لا يزعل حدا أنا لحبيبي و حبيبي إلي حبيبي ندهلي قلي الشتي راح رجعت اليمامة زهر التفاح و أنا على بابي الندي و الصباح و بعيونك ربيعي نور و حلي و ندهلي حبيبي جيت بلا سؤال من نومي سرقني من راحة البال أناعلى دربو و دربو عالجمال يا شمس المحبة حكايتنا أغزلي,1965,الأخوين رحباني,الأخوين رحباني
بكتب اسمك,بكتب اسمك ياحبيبي ع الحور العتيق .. بتكتب اسمي يا حبيبي ع رمل الطريق .. وبكرا بتشتي الدني .. ع القصص المجرحه بيبقى اسمك يا حبيبي واسمي بينمحى بحكي عنك ياحبيبي لأهالي الحي بتحكي عني ياحبيبي لنبعة المي ..ولما بيدور السهر .. تحت قناديل المسا بيحكوا عنك ياحبيبي وانا بنتسى وهديتني وردة .. فرجيتا لصحابي خبيتا بكتابي .. زرعتا ع المخدي هديتك مزهريي .. لا كنت تداريها ولا تعتني فيها .. تا ضاعت الهديه وبتقلي بتحبني ما بتعرف قديش مازالك بتحبني ليش دخلك ليش بكتب اسمك ياحبيبي ع الحور العتيق ..بكتب اسمك يا حبيبي ع رمل الطريق ..,1961,الأخوين رحباني,الأخوين رحباني
بيني وبينك,بيني و بينك يا ليل في حب و غنيي على بابي بتقعد يا ليل و منسهر ليلي بيني و بينك في أسرار و بتعرف أحزاني تبقى إمرقلي عاهاك الدار و قلو ما ينساني فيق البيت العتيق غافي على الطريق و غافي حدو الزمان  يمكن بكرا الحبيب يمرق متل الغريب و ما يذكر اللي كان,1979,الياس رحباني,الأخوين رحباني
سالتك حبيبي,سألتك حبيبي لوين رايحين...خلينا خلينا وتسبقنا سنين....اذا كنا ع طول..التقينا ع طول..ليش منتلفّت خايفين انا كل ما بشوفك..كأنّي بشوفك لأول مرة حبيبي...انا كل ما تودعنا..كأنّا تودّعنا لاخر مرة حبيبي...قلي ..حكيني ..نحنا مين..وليش منتلفت خايفين...موعدنا بكرا..وشو تأخر بكرا..قولك مش جاي حبيبي...عم شوفك بالساعه..بتكّات الساعه..من المدى جاي حبيبي ويا دنيي شتي ياسمين..ع اللي تلاقو ومش عارفين......ومن مين خايفين...,1975,الأخوين رحباني,الأخوين رحباني
شادي,من زمان أنا وصغيرة كان في صبي يجي من الحراش ألعب أنا وياه كان اسمه شادي أنا وشادي غنينا سوى لعبنا على الثلج ركضنا بالهوا كتبنا على الأحجار قصص صغار ولوحنا الهوا ويوم من الأيام ولعت الدني ناس ضد ناس علقوا بهالدني وصار القتال يقرب على التلال والدني دني وعلقت على اطراف الوادي شادي ركض يتفرج خفت وصرت انده له وينك رايح يا شادي انده له وما يسمعني ويبعد يبعد بالوادي ومن يومتها ما عدت شفته ضاع شادي والثلج اجا وراح الثلج عشرين مرة اجا وراح الثلج وانا صرت اكبر وشادي بعده صغير عم يلعب عالثلج,1970,الأخوين رحباني,الأخوين رحباني
طيري يا طياره,طيري يا طيارة طيري يا ورق وخيطان بدي ارجع بنت صغيره ع سطح الجيران وينساني الزمان على سطح الجيران علّي فوق سطوح بعاد ع النسمه الخجولة أخذونى معهم الولاد وردّوا لي الطفولة ضحكات الصبيان وغنانى زمان ردّتلى كتبى ومدرستى والعمر اللي كان وينساني الزمان على سطح الجيران لو فينا نهرب ونطير مع ها الورق الطاير تنكبر  بعد بكير شو صاير شو صاير يا زهر الرمان ميل بهالبستان تيتسلو صغار الأرض ويحلو الزمان,1967, الأخوين رحباني,فيلمون وهبه
عم بتضوي الشمس,عم بتضوي الشمس عالأرض المزروعة عم بتضوي الشمس والدنيي عم توعى حب الزيتون السمرا يا سمرا يا مغبرة وعاحفافي خلفها خفافي خلفها حفافي مشروعة قمار القمح المدرية غنيي وشو غنية ومزارع خلفها مزارع خلفها مزارع ونبوعة وبالقطن الحلوشو إغتنينا يا تلج زرعناه بإيدينا يا حمام الغيضا يا غنية بيضا يا تلج زرعناه بإيدينا وشوبحبك يا أرضي السخية يا زرع الأيدين القوية يا مطارح دوالي يا رمان العالي يا زرع الأيدين القوية وهبت ريح لاقوا الريح شيلوا معاولكن هزوها بوجه الريح لاقوا الريح برقصة حلوة وغنوا مليح وللجلسة الرضية ببيوت الهنية خبوا غنية,,الأخوين رحباني,الأخوين رحباني
