Track title,Cluster
البنت الشلبيه,1
اخر ايام الصيفيه,3
اعطنى الناى,2
انا لحبيبى,1
بكتب اسمك,0
بينى وبينك,1
سالتك حبيبى,0
شادى,3
طيرى طياره,3
عم بتضوى الشمس,3
شط اسكندريه,2
ابحث عنك دوما,0
ابنه بلادى,2
اتسالين النجم,2
احب الاسماء,2
احب دمشق,2
احبك فى صمتى,2
احبك اشوف,0
احترف الحزن,2
احكيلى حكايه طويله,3
احكيلى بلدى,0
احلى ليالى المنى,2
اخر السهريه,0
اذا الارض مدوره,0
اذكرينى,2
ارجعى الف ليله,2
بالغار كللت,2
بالمح ظلال الحب,1
ببلدى الاول,0
برجك عيد,1
بعثت روحى,0
بكى هواك,2
بيسان,2
بيتى انا بيتك,0
بيتنا فى الجزيره,2
بيقولوا زغير بلدى,3
تبقى ميل,1
تك تك يام سليمان,3
تنذكر تنعاد,0
جاى انا,0
جلنار,1
جينا لحلال القصص,0
حبيبى بده القمر,0
علوا ابواب الوسيعه,1
العريشه,1
تخمين,1
تدور الارجيله,3
تعا تجى,0
تعال كفاك دلال,2
تلفن عياش,3
حبك غنينا,1
غيب قمر,1
غرب الحسون,1
غرب هوى,1
,1
سالونى الناس,0
زورونى سنه مره,0
الرمان,3
غرب الحسون,1
غمر الغداير,1
فايق ناسى,1
فايق هوى,1
نسم علينا الهوى,1
نحنا والقمر جيران,1
كيفك انت,0
كنا نتلاقى,0
راجعين هوى,0
عروستنا الحلوه,1
معافى ياعسكر لبنان,3
معرفتى فيك,0
معك حبيبى,0
روابينا القمر,2
نام تنام,3
ندى,2
نسيتنا الكروم,1
نشيد المقاومه,3
ياحلو ياقمر,1
يارايح كفر,3
ياقمر دارتنا,1
ياقمر لشو تطلع,3
يامحلا ليالى الهوى,1
يوم يومين جمعه,1
يريد زهره,0
رعيان الجبال,0
ريت انت وانا بالييت,3
زنبق,1
شام الصيف,2
شاويش الكراكون,1
اقول لطفلتى,2
اسمر اسمر,2
اطلعى عروسه,3
الارض,2
الله كبير,0
الله معك هوانا,0
امس انتهينا,2
امى الحبيبه,2
انت لى,2
اهواك,2
اهو دا اللى,0
سيد الهوى,2
شو هالايام,3
لازم ودعكن,3
زمان,1
عتم ليل,3
