Similar Songs,Similarity Scores,Track title
بينى وبينك; تبقى ميل; شاويش الكراكون; انا لحبيبى; زمان,0.9158; 0.9061; 0.8993; 0.8971; 0.8970,البنت الشلبيه
تدور الارجيله; جاى انا; لازم ودعكن; طيرى طياره; حبيبى بده القمر,0.8826; 0.8788; 0.8770; 0.8718; 0.8693,اخر ايام الصيفيه
احبك فى صمتى; ابنه بلادى; تعال كفاك دلال; اقول لطفلتى; احب الاسماء,0.9093; 0.8901; 0.8864; 0.8821; 0.8740,اعطنى الناى
احكيلى بلدى; بيتى انا بيتك; جاى انا; نسم علينا الهوى; البنت الشلبيه,0.9177; 0.9083; 0.9043; 0.9030; 0.8971,انا لحبيبى
بيتى انا بيتك; سالونى الناس; كنا نتلاقى; رعيان الجبال; اخر السهريه,0.9253; 0.9118; 0.9077; 0.9069; 0.9046,بكتب اسمك
البنت الشلبيه; تبقى ميل; انا لحبيبى; nan; جلنار,0.9158; 0.8948; 0.8947; 0.8928; 0.8917,بينى وبينك
اخر السهريه; لازم ودعكن; يارايح كفر; بيتى انا بيتك; سالونى الناس,0.8864; 0.8856; 0.8737; 0.8719; 0.8670,سالتك حبيبى
طيرى طياره; غرب هوى; فايق هوى; بيتى انا بيتك; سالونى الناس,0.8778; 0.8759; 0.8742; 0.8689; 0.8667,شادى
نام تنام; تدور الارجيله; احكيلى بلدى; فايق هوى; بيتى انا بيتك,0.8968; 0.8870; 0.8860; 0.8838; 0.8827,طيرى طياره
الرمان; نام تنام; عروستنا الحلوه; تك تك يام سليمان; معافى ياعسكر لبنان,0.8715; 0.8697; 0.8689; 0.8675; 0.8599,عم بتضوى الشمس
نسيتنا الكروم; نسم علينا الهوى; انا لحبيبى; اخر ايام الصيفيه; طيرى طياره,0.8671; 0.8621; 0.8614; 0.8586; 0.8585,شط اسكندريه
يريد زهره; اهواك; الله معك هوانا; احترف الحزن; احبك اشوف,0.8851; 0.8512; 0.8497; 0.8481; 0.8454,ابحث عنك دوما
احبك فى صمتى; اسمر اسمر; ندى; سيد الهوى; اذكرينى,0.9322; 0.9023; 0.8996; 0.8976; 0.8956,ابنه بلادى
روابينا القمر; احب دمشق; اسمر اسمر; بالغار كللت; شام الصيف,0.8847; 0.8808; 0.8793; 0.8783; 0.8779,اتسالين النجم
اعطنى الناى; تعال كفاك دلال; بيتى انا بيتك; احبك فى صمتى; اقول لطفلتى,0.8740; 0.8601; 0.8565; 0.8506; 0.8492,احب الاسماء
بالغار كللت; شام الصيف; احبك فى صمتى; ابنه بلادى; امى الحبيبه,0.8992; 0.8937; 0.8920; 0.8858; 0.8842,احب دمشق
ابنه بلادى; تعال كفاك دلال; اعطنى الناى; شام الصيف; سيد الهوى,0.9322; 0.9137; 0.9093; 0.9034; 0.9017,احبك فى صمتى
ببلدى الاول; معك حبيبى; الله معك هوانا; سالونى الناس; كنا نتلاقى,0.8799; 0.8774; 0.8757; 0.8674; 0.8601,احبك اشوف
اهواك; اقول لطفلتى; احبك فى صمتى; تعال كفاك دلال; اعطنى الناى,0.8695; 0.8648; 0.8609; 0.8522; 0.8514,احترف الحزن
نسيتنا الكروم; انا لحبيبى; عروستنا الحلوه; تدور الارجيله; احكيلى بلدى,0.8596; 0.8436; 0.8369; 0.8355; 0.8349,احكيلى حكايه طويله
انا لحبيبى; بيتى انا بيتك; نسم علينا الهوى; اخر السهريه; تنذكر تنعاد,0.9177; 0.9092; 0.9074; 0.8981; 0.8972,احكيلى بلدى
اذكرينى; احبك فى صمتى; تعال كفاك دلال; ابنه بلادى; امس انتهينا,0.8829; 0.8822; 0.8721; 0.8695; 0.8690,احلى ليالى المنى
سالونى الناس; بيتى انا بيتك; غرب هوى; تنذكر تنعاد; بكتب اسمك,0.9215; 0.9114; 0.9052; 0.9051; 0.9046,اخر السهريه
حبيبى بده القمر; رعيان الجبال; غرب هوى; نسم علينا الهوى; جاى انا,0.8956; 0.8825; 0.8801; 0.8800; 0.8797,اذا الارض مدوره
سيد الهوى; احبك فى صمتى; ابنه بلادى; امس انتهينا; احلى ليالى المنى,0.9123; 0.8980; 0.8956; 0.8946; 0.8829,اذكرينى
احبك فى صمتى; امس انتهينا; اقول لطفلتى; سيد الهوى; اذكرينى,0.8699; 0.8663; 0.8646; 0.8631; 0.8574,ارجعى الف ليله
احب دمشق; سيد الهوى; روابينا القمر; ابنه بلادى; شام الصيف,0.8992; 0.8937; 0.8933; 0.8898; 0.8791,بالغار كللت
البنت الشلبيه; حبك غنينا; تبقى ميل; بيتى انا بيتك; انا لحبيبى,0.8930; 0.8775; 0.8662; 0.8649; 0.8630,بالمح ظلال الحب
كنا نتلاقى; الله معك هوانا; احبك اشوف; معك حبيبى; بكتب اسمك,0.9056; 0.8859; 0.8799; 0.8780; 0.8762,ببلدى الاول
علوا ابواب الوسيعه; غمر الغداير; معافى ياعسكر لبنان; زنبق; تخمين,0.8940; 0.8893; 0.8699; 0.8698; 0.8655,برجك عيد
جاى انا; سالونى الناس; اخر السهريه; البنت الشلبيه; انا لحبيبى,0.8710; 0.8709; 0.8580; 0.8546; 0.8489,بعثت روحى
احبك فى صمتى; اذكرينى; انا لحبيبى; شام الصيف; اقول لطفلتى,0.8838; 0.8720; 0.8719; 0.8702; 0.8649,بكى هواك
اقول لطفلتى; بيتنا فى الجزيره; احبك فى صمتى; ابنه بلادى; شام الصيف,0.8762; 0.8662; 0.8549; 0.8525; 0.8471,بيسان
بكتب اسمك; جاى انا; تنذكر تنعاد; سالونى الناس; اخر السهريه,0.9253; 0.9234; 0.9183; 0.9179; 0.9114,بيتى انا بيتك
ابنه بلادى; احبك فى صمتى; انت لى; روابينا القمر; بيسان,0.8914; 0.8814; 0.8700; 0.8682; 0.8662,بيتنا فى الجزيره
